Year,Airliner Accidents,Airliner Fatalities
2021,22,148
2020,34,173
2019,41,319
2018,32,587
2017,28,83
2016,27,278
2015,32,226
2014,44,746
2013,44,255
2012,35,502
2011,44,541
2010,42,961
2009,40,774
2008,53,634
2007,50,795
2006,59,956
2005,52,1098
2004,51,493
2003,56,730
2002,58,1023
2001,54,916
2000,59,1168
1999,64,517
1998,59,1209
1997,67,1195
1996,79,1908
1995,83,1268
1994,78,1495
1993,65,1168
1992,73,1577
1991,82,1228
1990,66,669
1989,77,1553
1988,79,1179
1987,64,1147
1986,63,861
1985,66,2050
1984,60,721
1983,52,896
1982,50,1220
1981,62,935
1980,70,1327
1979,94,1809
1978,77,1281
1977,86,1704
1976,85,1684
1975,66,1208
1974,90,2036
1973,87,2064
1972,89,2416
1971,64,1468
1970,92,1492
1969,87,1709
1968,78,1421
1967,72,1351
1966,71,1477
1965,68,1173
1964,51,1019
1963,59,1263
1962,84,1790
1961,64,1343
1960,75,1484
1959,73,1071
1958,78,1235
1957,76,977
1956,58,850
1955,64,630
1954,56,707
1953,74,976
1952,61,783
1951,69,948
1950,71,1124
1949,81,1109
1948,98,1304
1947,81,1072
1946,73,820
1945,39,333
1944,41,333
1943,38,303
1942,30,337
